CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
18726	18731	0.0019989	0	0.728017	0.690274	1
20389	20474	0	0	0.88936	0.61715	1
15509	15619	-0.0209961	0	0.934011	0.729989	1
18861	19092	-0.0140076	0	0.744656	0.728308	1
21971	22070	-0.019989	0	0.562974	0.764673	1
13301	13566	0.0059967	0	0.924632	0.829688	1
15467	15755	0.0279999	0	0.931803	0.776275	1
15781	16028	0.00500488	0	0.929035	0.876522	1
15293	16214	-3.009	0	0.694512	0.565234	1
22519	24275	-24.014	0	0.623329	0.421192	1
30747	30867	-106.081	0	0.945211	0.838837	1
21034	25241	-54.014	0	0.693242	0.418479	1
25523	25623	-0.0240021	0	0.881307	0.806328	1
13331	13451	0.0399933	0	0.985572	0.879711	1
22031	22038	-0.0110016	0	0.894392	0.713113	1
20804	20806	0.0149994	0	0.617535	0.466214	1
19494	22382	-23.011	0	0.607888	0.539409	1
12512	12751	-0.0379944	0	0.921935	0.750514	1
2803	3094	0.00800323	0	0.904163	0.766137	1
21456	29888	-226.111	0	0.61705	0.544714	1
26325	26423	-2.04901	0	0.609877	0.406536	1
2721	2793	0.00800323	0	0.928517	0.878167	1
16280	16312	-0.0110016	0	0.937231	0.836948	1
2721	2796	0.00500488	0	0.953591	0.770251	1
17131	17136	0.00299072	0	0.961293	0.925986	1
915	944	0.00899506	0	0.792452	0.50383	1
18241	18479	-0.0980072	0	0.935262	0.732396	1
20082	20169	0.0219879	0	0.950764	0.784928	1
24592	24802	0	0	0.779443	0.514967	1
19247	19250	0.0330048	0	0.893744	0.561883	1
14075	14102	-0.00700378	0	0.837374	0.82285	1
16297	16331	0.0319977	0	0.890769	0.766402	1
16425	16507	-0.00300598	0	0.911726	0.781448	1
19247	19258	-0.0220032	0	0.88745	0.624517	1
12494	12784	-0.0390015	0	0.940778	0.747072	1
13296	13381	-0.0119934	0	0.899244	0.804649	1
27589	27593	-0.00500488	0	0.808406	0.769375	1
13386	13419	0.00700378	0	0.896345	0.817748	1
18916	18971	0	0	0.898155	0.815264	1
12073	19104	-18.01	0	0.912279	0.669367	1
24580	24639	0	0	0.850144	0.697742	1
22690	30051	-239.1	0	0.671566	0.504441	1
22900	22905	0.00601196	0	0.761626	0.623021	1
17878	17993	0	0	0.951309	0.719403	1
14075	14109	-0.00900269	0	0.876765	0.826777	1
29918	30020	-14.016	0	0.696979	0.572127	1
17264	17418	-0.00299072	0	0.929672	0.771209	1
21075	21093	-0.0039978	0	0.766213	0.709605	1
17902	17953	0.0149994	0	0.964499	0.842683	1
